Client,Round,R² Score
Client 1,2010_2,0.9451581885113388
Client 1,2010_3,0.9262399491864778
Client 1,2010_4,0.9507142277994678
Client 1,2010_5,0.9605868503035287
Client 1,2010_6,0.9618870033475806
Client 1,2010_7,0.9589568838289643
Client 1,2010_8,0.97288184200181
Client 1,2010_9,0.9546935696132837
Client 1,2010_10,0.9535292719686278
Client 1,2010_11,0.9281505447394522
Client 1,2010_12,0.9112691240036187
Client 1,2011_1,0.9406727658663432
Client 1,2011_2,0.9424974028500269
Client 1,2011_3,0.9407087401350869
Client 1,2011_4,0.9315997307880972
Client 1,2011_5,0.9573539326135303
Client 1,2011_6,0.9679772713319894
Client 1,2011_7,0.9726179891155621
Client 1,2011_8,0.968891929237899
Client 1,2011_9,0.9496731909136503
Client 1,2011_10,0.9492279811747611
Client 1,2011_11,0.902329055163344
Client 1,2011_12,0.8833614281665689
Client 1,2012_1,0.9495644567264022
Client 1,2012_2,0.9350936501276466
Client 1,2012_3,0.937528410184443
Client 1,2012_4,0.9418237359291207
Client 1,2012_5,0.9577356820885253
Client 1,2012_6,0.9573265421553674
Client 1,2012_7,0.9531828507532912
Client 1,2012_8,0.9644703040961028
Client 1,2012_9,0.9461347183780521
Client 1,2012_10,0.9599002512340817
Client 2,2010_2,0.9315458719123685
Client 2,2010_3,0.9224139142982898
Client 2,2010_4,0.8868152899097066
Client 2,2010_5,0.9010188318952922
Client 2,2010_6,0.8678409803134224
Client 2,2010_7,0.8915904630229162
Client 2,2010_8,0.9125518709894345
Client 2,2010_9,0.9078778511650406
Client 2,2010_10,0.9325971989531484
Client 2,2010_11,0.7827526619277132
Client 2,2010_12,0.8017530443512351
Client 2,2011_1,0.9044453306895238
Client 2,2011_2,0.8989816329148341
Client 2,2011_3,0.916391871585489
Client 2,2011_4,0.8825159108282339
Client 2,2011_5,0.9035100375867784
Client 2,2011_6,0.9165888519996632
Client 2,2011_7,0.869383677463301
Client 2,2011_8,0.906754912428107
Client 2,2011_9,0.8748543697351261
Client 2,2011_10,0.9246680195495756
Client 2,2011_11,0.8112282851458333
Client 2,2011_12,0.8063792430346044
Client 2,2012_1,0.9170460221876391
Client 2,2012_2,0.867407972457175
Client 2,2012_3,0.911552529560341
Client 2,2012_4,0.8892164508732066
Client 2,2012_5,0.887418065402982
Client 2,2012_6,0.8915178251358677
Client 2,2012_7,0.9036150541603692
Client 2,2012_8,0.8203813235113826
Client 2,2012_9,0.9043064067079543
Client 2,2012_10,0.9270423611187717
Client 3,2010_2,0.8635199448839259
Client 3,2010_3,0.9764581934819693
Client 3,2010_4,0.9626134836513891
Client 3,2010_5,0.9637250367713498
Client 3,2010_6,0.9779319655117784
Client 3,2010_7,0.9801152751142236
Client 3,2010_8,0.9759793835841547
Client 3,2010_9,0.9668720660253923
Client 3,2010_10,0.978123610100892
Client 3,2010_11,0.9629999497436792
Client 3,2010_12,0.9404566019083194
Client 3,2011_1,0.9752535083392174
Client 3,2011_2,0.9767070061456823
Client 3,2011_3,0.9774747916897678
Client 3,2011_4,0.9732575458960765
Client 3,2011_5,0.9653277606576025
Client 3,2011_6,0.9606391941033262
Client 3,2011_7,0.9798299446044019
Client 3,2011_8,0.961951188126858
Client 3,2011_9,0.9257270133014466
Client 3,2011_10,0.9712288156978344
Client 3,2011_11,0.9670034729491287
Client 3,2011_12,0.9294075881277597
Client 3,2012_1,0.9852802426851168
Client 3,2012_2,0.9749077372752704
Client 3,2012_3,0.9816070222558861
Client 3,2012_4,0.9486339146025893
Client 3,2012_5,0.969429273928921
Client 3,2012_6,0.954904494318963
Client 3,2012_7,0.9728199675672171
Client 3,2012_8,0.9821405210869731
Client 3,2012_9,0.960403888246872
Client 3,2012_10,0.9824561480218063
Client 4,2010_2,0.9634808731579925
Client 4,2010_3,0.9712085508205985
Client 4,2010_4,0.9365067679670367
Client 4,2010_5,0.9606648427560364
Client 4,2010_6,0.9483688930721585
Client 4,2010_7,0.9185962364570044
Client 4,2010_8,0.9768707305226777
Client 4,2010_9,0.9241475447412514
Client 4,2010_10,0.9590507179914626
Client 4,2010_11,0.9236538495372314
Client 4,2010_12,0.8820887988575153
Client 4,2011_1,0.9427400901957257
Client 4,2011_2,0.9483105771730727
Client 4,2011_3,0.9627113887702524
Client 4,2011_4,0.8995641194340589
Client 4,2011_5,0.9343174265963539
Client 4,2011_6,0.9444847211050403
Client 4,2011_7,0.9565080512686925
Client 4,2011_8,0.9601901255009898
Client 4,2011_9,0.9315789985232095
Client 4,2011_10,0.939793034028807
Client 4,2011_11,0.9084342987533565
Client 4,2011_12,0.8758336099782461
Client 4,2012_1,0.9385271807912945
Client 4,2012_2,0.9501625842263107
Client 4,2012_3,0.9316362097693345
Client 4,2012_4,0.9049453900405275
Client 4,2012_5,0.9238068758647605
Client 4,2012_6,0.9190337027434496
Client 4,2012_7,0.9420516182814354
Client 4,2012_8,0.9570381247193209
Client 4,2012_9,0.9296559355475865
Client 4,2012_10,0.9546426192972501
Client 5,2010_2,0.9492608314512853
Client 5,2010_3,0.9517761394558313
Client 5,2010_4,0.8823158194139963
Client 5,2010_5,0.9063882116794021
Client 5,2010_6,0.9515306020589483
Client 5,2010_7,0.9518044513563124
Client 5,2010_8,0.9407690827108834
Client 5,2010_9,0.9508682051747451
Client 5,2010_10,0.9598082575627793
Client 5,2010_11,0.9232002629687271
Client 5,2010_12,0.8410547051358344
Client 5,2011_1,0.9493317148618933
Client 5,2011_2,0.9503014452013967
Client 5,2011_3,0.9472840142220224
Client 5,2011_4,0.9566515302407252
Client 5,2011_5,0.9448334730889657
Client 5,2011_6,0.9419266486707811
Client 5,2011_7,0.9461775786662742
Client 5,2011_8,0.9358337672482557
Client 5,2011_9,0.9361516362661515
Client 5,2011_10,0.9419203461970367
Client 5,2011_11,0.9195945091873456
Client 5,2011_12,0.8652141697491601
Client 5,2012_1,0.9540926352282958
Client 5,2012_2,0.9517713101382574
Client 5,2012_3,0.9589526885427732
Client 5,2012_4,0.8412262788735776
Client 5,2012_5,0.9433367266902138
Client 5,2012_6,0.8876574266584024
Client 5,2012_7,0.940471637914049
Client 5,2012_8,0.9408211111777659
Client 5,2012_9,0.9338563139426889
Client 5,2012_10,0.9692751437021613
Client 6,2010_2,0.9319157200513791
Client 6,2010_3,0.8958708744049547
Client 6,2010_4,0.9208526880150298
Client 6,2010_5,0.9141824397086596
Client 6,2010_6,0.9072909540463869
Client 6,2010_7,0.8762758937180061
Client 6,2010_8,0.9039136628325481
Client 6,2010_9,0.90432047904283
Client 6,2010_10,0.9164037856889593
Client 6,2010_11,0.9063646924710613
Client 6,2010_12,0.7216804437469582
Client 6,2011_1,0.9184097459540473
Client 6,2011_2,0.9218284931907073
Client 6,2011_3,0.9488962941324706
Client 6,2011_4,0.9317011421597963
Client 6,2011_5,0.8988622608669101
Client 6,2011_6,0.8880176373046862
Client 6,2011_7,0.9107564484619102
Client 6,2011_8,0.9134892312889762
Client 6,2011_9,0.9014616312968919
Client 6,2011_10,0.908023455596064
Client 6,2011_11,0.8890191333125963
Client 6,2011_12,0.8311784437219736
Client 6,2012_1,0.9093966959325438
