Plant_ID,Machine_Type,Quality_Audit,Year,Month,Week,Weekly_Production
41,1,0,2011,2,1,11049
41,2,0,2011,2,1,10939
41,3,0,2011,2,1,10829
41,4,0,2011,2,1,10720
41,5,0,2011,2,1,10610
41,6,0,2011,2,1,10500
41,7,0,2011,2,1,10391
41,8,0,2011,2,1,10281
41,9,0,2011,2,1,10171
41,10,0,2011,2,1,10062
41,11,0,2011,2,1,9952
41,12,0,2011,2,1,9842
41,13,0,2011,2,1,9733
41,14,0,2011,2,1,9623
41,16,0,2011,2,1,9404
41,17,0,2011,2,1,9294
41,18,0,2011,2,1,9184
41,19,0,2011,2,1,9074
41,20,0,2011,2,1,8965
41,21,0,2011,2,1,8855
41,22,0,2011,2,1,8745
41,23,0,2011,2,1,8636
41,24,0,2011,2,1,8526
41,25,0,2011,2,1,8416
41,26,0,2011,2,1,8307
41,27,0,2011,2,1,8197
41,28,0,2011,2,1,8087
41,29,0,2011,2,1,7978
41,30,0,2011,2,1,7868
41,31,0,2011,2,1,7758
41,32,0,2011,2,1,7649
41,33,0,2011,2,1,7539
41,34,0,2011,2,1,7429
41,35,0,2011,2,1,7319
41,36,0,2011,2,1,7210
41,38,0,2011,2,1,6990
41,40,0,2011,2,1,6771
41,41,0,2011,2,1,6661
41,42,0,2011,2,1,6552
41,44,0,2011,2,1,6332
41,46,0,2011,2,1,6113
41,48,0,2011,2,1,5894
41,49,0,2011,2,1,5784
41,51,0,2011,2,1,5565
41,52,0,2011,2,1,5455
41,54,0,2011,2,1,5235
41,55,0,2011,2,1,5126
41,56,0,2011,2,1,5016
41,58,0,2011,2,1,4797
41,59,0,2011,2,1,4687
41,60,0,2011,2,1,4577
41,67,0,2011,2,1,4087
41,71,0,2011,2,1,6844
41,72,0,2011,2,1,7584
41,74,0,2011,2,1,9064
41,79,0,2011,2,1,12764
41,80,0,2011,2,1,13504
41,81,0,2011,2,1,14257
41,82,0,2011,2,1,15250
41,83,0,2011,2,1,16370
41,85,0,2011,2,1,18611
41,87,0,2011,2,1,20851
41,90,0,2011,2,1,24212
41,91,0,2011,2,1,25333
41,92,0,2011,2,1,26453
41,93,0,2011,2,1,27573
41,94,0,2011,2,1,28694
41,95,0,2011,2,1,29814
41,96,0,2011,2,1,30934
41,97,0,2011,2,1,32054
41,98,0,2011,2,1,33175
42,1,0,2011,2,1,11040
42,2,0,2011,2,1,10931
42,3,0,2011,2,1,10821
42,4,0,2011,2,1,10711
42,5,0,2011,2,1,10601
42,7,0,2011,2,1,10382
42,8,0,2011,2,1,10272
42,9,0,2011,2,1,10163
42,10,0,2011,2,1,10053
42,11,0,2011,2,1,9943
42,12,0,2011,2,1,9834
42,13,0,2011,2,1,9724
42,14,0,2011,2,1,9614
42,16,0,2011,2,1,9395
42,17,0,2011,2,1,9285
42,18,0,2011,2,1,9176
42,21,0,2011,2,1,8847
42,25,0,2011,2,1,8408
42,28,0,2011,2,1,8079
42,31,0,2011,2,1,7750
42,32,0,2011,2,1,7640
