Store,Dept,Weekly_Sales,IsHoliday,Year,Month,Week
26,1,19519.12,0,2010,5,1
26,2,26674.11,0,2010,5,1
26,3,5607.19,0,2010,5,1
26,4,23378.51,0,2010,5,1
26,7,12872.97,0,2010,5,1
26,8,28946.81,0,2010,5,1
26,10,11436.16,0,2010,5,1
26,13,22740.53,0,2010,5,1
26,14,10374.68,0,2010,5,1
26,16,34938.23,0,2010,5,1
26,21,5721.65,0,2010,5,1
26,38,114603.57,0,2010,5,1
26,40,37753.02,0,2010,5,1
26,46,10045.94,0,2010,5,1
26,67,13804.76,0,2010,5,1
26,79,12504.69,0,2010,5,1
26,81,20493.81,0,2010,5,1
26,82,10970.31,0,2010,5,1
26,90,57721.61,0,2010,5,1
26,91,45845.07,0,2010,5,1
26,92,87111.96,0,2010,5,1
26,95,78206.96,0,2010,5,1
26,1,17711.94,0,2010,5,2
26,2,25799.33,0,2010,5,2
26,3,5388.65,0,2010,5,2
26,4,22725.24,0,2010,5,2
26,7,11797.4,0,2010,5,2
26,8,26769.36,0,2010,5,2
26,10,10582.25,0,2010,5,2
26,11,11693.36,0,2010,5,2
26,13,21087.26,0,2010,5,2
26,14,11630.93,0,2010,5,2
26,16,24323.33,0,2010,5,2
26,21,5310.62,0,2010,5,2
26,38,108341.52,0,2010,5,2
26,40,34492.52,0,2010,5,2
26,46,9379.83,0,2010,5,2
26,67,14065.65,0,2010,5,2
26,79,12626.84,0,2010,5,2
26,81,18270.69,0,2010,5,2
26,82,10618.34,0,2010,5,2
26,90,51732.88,0,2010,5,2
26,91,39102.71,0,2010,5,2
26,92,75493.37,0,2010,5,2
26,95,67546.26,0,2010,5,2
26,1,17255.98,0,2010,5,3
26,2,28024.21,0,2010,5,3
26,3,4951.25,0,2010,5,3
26,4,23082.47,0,2010,5,3
26,7,15488.96,0,2010,5,3
26,8,28688.97,0,2010,5,3
26,10,12121.28,0,2010,5,3
26,11,11333.2,0,2010,5,3
26,13,21541.24,0,2010,5,3
26,14,9320.19,0,2010,5,3
26,16,34428.09,0,2010,5,3
26,21,5026.73,0,2010,5,3
26,38,108795.61,0,2010,5,3
26,40,36867.51,0,2010,5,3
26,46,9213.02,0,2010,5,3
26,67,8608.61,0,2010,5,3
26,74,8973.81,0,2010,5,3
26,79,11483.52,0,2010,5,3
26,81,18779.09,0,2010,5,3
26,82,10037.24,0,2010,5,3
26,90,50226.01,0,2010,5,3
26,91,35892.53,0,2010,5,3
26,92,73954.66,0,2010,5,3
26,95,70354.84,0,2010,5,3
26,1,17897.73,0,2010,5,4
26,2,26849.63,0,2010,5,4
26,3,5154.99,0,2010,5,4
26,4,23738.66,0,2010,5,4
26,7,18567.2,0,2010,5,4
26,8,25444.44,0,2010,5,4
26,10,13082.05,0,2010,5,4
26,11,28911.79,0,2010,5,4
26,13,21495.89,0,2010,5,4
26,14,8771.17,0,2010,5,4
26,16,50716.46,0,2010,5,4
26,21,5327.73,0,2010,5,4
26,38,107348.28,0,2010,5,4
26,40,37443.63,0,2010,5,4
26,46,11689.69,0,2010,5,4
26,67,9094.2,0,2010,5,4
26,79,10608.39,0,2010,5,4
26,81,20393.92,0,2010,5,4
26,82,11261.2,0,2010,5,4
26,90,51900.62,0,2010,5,4
26,91,35010.27,0,2010,5,4
26,92,72268.9,0,2010,5,4
26,95,78902.87,0,2010,5,4
27,1,21603.66,0,2010,5,1
27,2,79983.25,0,2010,5,1
27,3,11310.67,0,2010,5,1
27,4,44545.64,0,2010,5,1
27,7,44789.9,0,2010,5,1
27,8,42995.21,0,2010,5,1
27,10,39768.95,0,2010,5,1
27,13,56878.07,0,2010,5,1
27,14,32393.91,0,2010,5,1
27,16,63882.37,0,2010,5,1
27,21,7916.79,0,2010,5,1
27,38,41319.86,0,2010,5,1
27,40,71816.86,0,2010,5,1
27,46,40588.91,0,2010,5,1
27,67,25002.37,0,2010,5,1
27,79,40770.99,0,2010,5,1
27,81,31502.58,0,2010,5,1
27,82,21443.18,0,2010,5,1
27,90,99793.19,0,2010,5,1
27,91,75896.1,0,2010,5,1
27,92,151582.29,0,2010,5,1
27,95,135908.32,0,2010,5,1
27,1,23232.55,0,2010,5,2
27,2,77090.52,0,2010,5,2
27,3,11413.1,0,2010,5,2
27,4,44673.79,0,2010,5,2
27,7,33064.34,0,2010,5,2
27,8,43664.09,0,2010,5,2
27,10,38023.96,0,2010,5,2
27,11,16598.05,0,2010,5,2
27,13,50889.81,0,2010,5,2
27,14,31292.43,0,2010,5,2
27,16,43773.52,0,2010,5,2
27,21,8064.11,0,2010,5,2
27,38,41909.97,0,2010,5,2
27,40,71363.46,0,2010,5,2
27,46,37446.01,0,2010,5,2
27,67,25854.82,0,2010,5,2
27,79,37978.49,0,2010,5,2
27,81,30409.19,0,2010,5,2
27,82,22509.6,0,2010,5,2
27,90,97258.69,0,2010,5,2
27,91,70853.24,0,2010,5,2
27,92,149120.63,0,2010,5,2
27,95,128494.32,0,2010,5,2
27,1,20625.1,0,2010,5,3
27,2,79968.72,0,2010,5,3
27,3,11689.33,0,2010,5,3
27,4,45571.67,0,2010,5,3
27,7,39361.56,0,2010,5,3
27,8,43630.67,0,2010,5,3
27,10,39832.07,0,2010,5,3
27,11,17940.41,0,2010,5,3
27,13,53019.34,0,2010,5,3
27,14,27175.05,0,2010,5,3
27,16,52635.15,0,2010,5,3
27,21,6691.49,0,2010,5,3
27,38,34508.87,0,2010,5,3
27,40,74209.71,0,2010,5,3
27,46,40352.41,0,2010,5,3
27,67,13483.27,0,2010,5,3
27,74,28515.65,0,2010,5,3
27,79,40508.86,0,2010,5,3
27,81,32342.0,0,2010,5,3
27,82,19858.9,0,2010,5,3
27,90,96144.33,0,2010,5,3
27,91,72213.14,0,2010,5,3
27,92,148287.74,0,2010,5,3
27,95,126814.01,0,2010,5,3
27,1,23089.22,0,2010,5,4
