Client,Round,R² Score
Client 1,2010_2,0.9451581885113388
Client 1,2010_3,0.9304178681611548
Client 1,2010_4,0.9495733176118736
Client 1,2010_5,0.9604312202731441
Client 1,2010_6,0.9619006110656263
Client 1,2010_7,0.95993245062043
Client 1,2010_8,0.9729772473133274
Client 1,2010_9,0.9540549141752742
Client 1,2010_10,0.9534813720071834
Client 1,2010_11,0.9270593740038374
Client 1,2010_12,0.9122748874549491
Client 1,2011_1,0.9400222860847525
Client 1,2011_2,0.9434419189076833
Client 1,2011_3,0.9357973956192578
Client 1,2011_4,0.9319724028984092
Client 1,2011_5,0.9570904670199631
Client 1,2011_6,0.9656234266469802
Client 1,2011_7,0.9724022219941895
Client 1,2011_8,0.9696388657382382
Client 1,2011_9,0.9498951237542258
Client 1,2011_10,0.9483090439053447
Client 1,2011_11,0.9027386652667535
Client 1,2011_12,0.8862814608286566
Client 1,2012_1,0.9490226693216424
Client 1,2012_2,0.9345391585696231
Client 1,2012_3,0.9372315181523634
Client 1,2012_4,0.9430465556144073
Client 1,2012_5,0.9543966804727066
Client 1,2012_6,0.9598384163938458
Client 1,2012_7,0.9515430878115552
Client 1,2012_8,0.9629433500802329
Client 1,2012_9,0.9463156128964822
Client 1,2012_10,0.957737601820086
Client 2,2010_2,0.9315458719123685
Client 2,2010_3,0.9248213758100858
Client 2,2010_4,0.8868149010103246
Client 2,2010_5,0.8970590974637919
Client 2,2010_6,0.8745662233010942
Client 2,2010_7,0.8920096668922621
Client 2,2010_8,0.9089928822766848
Client 2,2010_9,0.911988725659425
Client 2,2010_10,0.9293887413239866
Client 2,2010_11,0.7851275995865596
Client 2,2010_12,0.808367304691078
Client 2,2011_1,0.9025546050116425
Client 2,2011_2,0.9017605737017659
Client 2,2011_3,0.9168442139295765
Client 2,2011_4,0.8829279313459032
Client 2,2011_5,0.903335010481995
Client 2,2011_6,0.9091334186468069
Client 2,2011_7,0.8695060733209511
Client 2,2011_8,0.9115370327303542
Client 2,2011_9,0.8796074213795306
Client 2,2011_10,0.9254699556016215
Client 2,2011_11,0.8107768806754962
Client 2,2011_12,0.8115503333598023
Client 2,2012_1,0.9160463632713549
Client 2,2012_2,0.8746878085621151
Client 2,2012_3,0.8994716290648773
Client 2,2012_4,0.8891286667970735
Client 2,2012_5,0.8830025289888598
Client 2,2012_6,0.8849419723499378
Client 2,2012_7,0.9075462315434379
Client 2,2012_8,0.8204473209849963
Client 2,2012_9,0.9050158609560605
Client 2,2012_10,0.928821626721034
Client 3,2010_2,0.8635199448839259
Client 3,2010_3,0.9764232537568189
Client 3,2010_4,0.9619658373043452
Client 3,2010_5,0.9636970766676569
Client 3,2010_6,0.9779694073268197
Client 3,2010_7,0.9799853333365744
Client 3,2010_8,0.9748792309246549
Client 3,2010_9,0.9658671911369718
Client 3,2010_10,0.9788989699040376
Client 3,2010_11,0.9655161667784533
Client 3,2010_12,0.9369843053832471
Client 3,2011_1,0.9758204747061563
Client 3,2011_2,0.9770772890712514
Client 3,2011_3,0.9777304883775447
Client 3,2011_4,0.9712781301557897
Client 3,2011_5,0.9671173325278556
Client 3,2011_6,0.9605864412419918
Client 3,2011_7,0.9812044899460466
Client 3,2011_8,0.9615173699757018
Client 3,2011_9,0.9207752541626677
Client 3,2011_10,0.9716306841561292
Client 3,2011_11,0.9668040240475434
Client 3,2011_12,0.9326351289786441
Client 3,2012_1,0.9855468412432176
Client 3,2012_2,0.975292618940325
Client 3,2012_3,0.9815444211513981
Client 3,2012_4,0.9489468979812815
Client 3,2012_5,0.9710616364006458
Client 3,2012_6,0.9538390498744006
Client 3,2012_7,0.9736567971780301
Client 3,2012_8,0.9820852011482348
Client 3,2012_9,0.9621963316980371
Client 3,2012_10,0.9821661963563016
Client 4,2010_2,0.9634808731579925
Client 4,2010_3,0.9712081974596456
Client 4,2010_4,0.9349547607312412
Client 4,2010_5,0.9606546141950718
Client 4,2010_6,0.9480290450286915
Client 4,2010_7,0.9182642096581405
Client 4,2010_8,0.9774477711595569
Client 4,2010_9,0.9246009133189963
Client 4,2010_10,0.959470782751646
Client 4,2010_11,0.9255266037956508
Client 4,2010_12,0.8816975908023919
Client 4,2011_1,0.9433461749901638
Client 4,2011_2,0.9489492933078622
Client 4,2011_3,0.9625028545501247
Client 4,2011_4,0.9020158937482357
Client 4,2011_5,0.9361172397888606
Client 4,2011_6,0.9457509139602396
Client 4,2011_7,0.9569977352238159
Client 4,2011_8,0.9603949322811
Client 4,2011_9,0.9316340160361619
Client 4,2011_10,0.939800598552532
Client 4,2011_11,0.9070555492455594
Client 4,2011_12,0.8759367527722189
Client 4,2012_1,0.938477603625789
Client 4,2012_2,0.9493645154394622
Client 4,2012_3,0.9307848033604946
