Client,Round,R² Score
Client 1,2010_2,0.9451581885113388
Client 1,2010_3,0.9268040936023735
Client 1,2010_4,0.9492751058619002
Client 1,2010_5,0.9624499501235119
Client 1,2010_6,0.9619859504051997
Client 1,2010_7,0.9596337074951418
Client 1,2010_8,0.9719739247049827
Client 1,2010_9,0.9541459573878048
Client 1,2010_10,0.9535065455590003
Client 1,2010_11,0.9280319901051007
Client 1,2010_12,0.9112354789484034
Client 1,2011_1,0.94037867006557
Client 1,2011_2,0.9417438846423668
Client 1,2011_3,0.9371530978551755
Client 1,2011_4,0.9302012433202231
Client 1,2011_5,0.9571492779693038
Client 1,2011_6,0.9679776816892318
Client 1,2011_7,0.9728867320851985
Client 1,2011_8,0.9714636519751293
Client 1,2011_9,0.9502511804953391
Client 1,2011_10,0.9476552158002665
Client 1,2011_11,0.9023182387517877
Client 1,2011_12,0.876645071104664
Client 1,2012_1,0.9497006936436685
Client 1,2012_2,0.9350844512830812
Client 1,2012_3,0.937495857638207
Client 1,2012_4,0.9418054949647227
Client 1,2012_5,0.9577325839557627
Client 1,2012_6,0.9560859176457384
Client 1,2012_7,0.9535926779502657
Client 1,2012_8,0.9644476466931434
Client 1,2012_9,0.9458104215179294
Client 1,2012_10,0.9603370317395267
Client 2,2010_2,0.9315458719123685
Client 2,2010_3,0.9248504997508826
Client 2,2010_4,0.8868103556572642
Client 2,2010_5,0.9011668795917236
Client 2,2010_6,0.8753871969991045
Client 2,2010_7,0.8918930915129699
Client 2,2010_8,0.9125443181573404
Client 2,2010_9,0.906070219788667
Client 2,2010_10,0.9328338906408029
Client 2,2010_11,0.7821724360348316
Client 2,2010_12,0.8030608726421257
Client 2,2011_1,0.9033832963986524
Client 2,2011_2,0.8984536553828375
Client 2,2011_3,0.9157999540518553
Client 2,2011_4,0.8837807866970172
Client 2,2011_5,0.9043975861216885
Client 2,2011_6,0.9177142558810619
Client 2,2011_7,0.8685791198152971
Client 2,2011_8,0.9061625542452596
Client 2,2011_9,0.8769079612569295
Client 2,2011_10,0.9270006134977085
Client 2,2011_11,0.8114772453130068
Client 2,2011_12,0.8121873116417618
Client 2,2012_1,0.9162242189680064
